2017-08-09 10:34:38.917 | INFO  | [main] o.h.c.Environment:213 - HHH000206: hibernate.properties not found
2017-08-09 10:34:39.589 | INFO  | [main] o.h.a.c.Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2017-08-09 10:34:40.027 | WARN  | [main] o.h.o.c.pooling:70 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2017-08-09 10:34:40.198 | INFO  | [main] o.h.o.c.pooling:126 - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/dev?useSSL=true&serverTimezone=UTC]
2017-08-09 10:34:40.198 | INFO  | [main] o.h.o.c.pooling:135 - HHH10001001: Connection properties: {user=root, password=****}
2017-08-09 10:34:40.198 | INFO  | [main] o.h.o.c.pooling:140 - HHH10001003: Autocommit mode: false
2017-08-09 10:34:40.214 | INFO  | [main] o.h.e.j.c.i.DriverManagerConnectionProviderImpl:41 - HHH000115: Hibernate connection pool size: 20 (min=1)
2017-08-09 10:34:40.902 | INFO  | [main] o.h.d.Dialect:157 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2017-08-09 10:34:42.730 | INFO  | [main] o.h.o.c.access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@32cb636e] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2017-08-09 10:34:42.995 | INFO  | [main] o.h.h.i.QueryTranslatorFactoryInitiator:47 - HHH000397: Using ASTQueryTranslatorFactory
2017-08-09 10:35:06.243 | INFO  | [main] o.h.Version:45 - HHH000412: Hibernate Core {5.2.10.Final}
2017-08-09 10:35:06.243 | INFO  | [main] o.h.c.Environment:213 - HHH000206: hibernate.properties not found
2017-08-09 10:35:06.868 | INFO  | [main] o.h.a.c.Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2017-08-09 10:35:07.227 | WARN  | [main] o.h.o.c.pooling:70 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2017-08-09 10:35:07.289 | INFO  | [main] o.h.o.c.pooling:126 - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/dev?useSSL=true&serverTimezone=UTC]
2017-08-09 10:35:07.289 | INFO  | [main] o.h.o.c.pooling:135 - HHH10001001: Connection properties: {user=root, password=****}
2017-08-09 10:35:07.289 | INFO  | [main] o.h.o.c.pooling:140 - HHH10001003: Autocommit mode: false
2017-08-09 10:35:07.305 | INFO  | [main] o.h.e.j.c.i.DriverManagerConnectionProviderImpl:41 - HHH000115: Hibernate connection pool size: 20 (min=1)
2017-08-09 10:35:08.008 | INFO  | [main] o.h.d.Dialect:157 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2017-08-09 10:35:09.790 | INFO  | [main] o.h.o.c.access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@32cb636e] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2017-08-09 10:35:10.149 | INFO  | [main] o.h.h.i.QueryTranslatorFactoryInitiator:47 - HHH000397: Using ASTQueryTranslatorFactory
2017-08-09 10:38:04.746 | INFO  | [main] o.h.Version:45 - HHH000412: Hibernate Core {5.2.10.Final}
2017-08-09 10:38:04.762 | INFO  | [main] o.h.c.Environment:213 - HHH000206: hibernate.properties not found
2017-08-09 10:38:05.496 | INFO  | [main] o.h.a.c.Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2017-08-09 10:38:05.996 | WARN  | [main] o.h.o.c.pooling:70 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2017-08-09 10:38:06.028 | INFO  | [main] o.h.o.c.pooling:126 - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/dev?useSSL=true&serverTimezone=UTC]
2017-08-09 10:38:06.028 | INFO  | [main] o.h.o.c.pooling:135 - HHH10001001: Connection properties: {user=root, password=****}
2017-08-09 10:38:06.028 | INFO  | [main] o.h.o.c.pooling:140 - HHH10001003: Autocommit mode: false
2017-08-09 10:38:06.028 | INFO  | [main] o.h.e.j.c.i.DriverManagerConnectionProviderImpl:41 - HHH000115: Hibernate connection pool size: 20 (min=1)
2017-08-09 10:38:06.762 | INFO  | [main] o.h.d.Dialect:157 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2017-08-09 10:38:08.653 | INFO  | [main] o.h.o.c.access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@32cb636e] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2017-08-09 10:38:08.871 | INFO  | [main] o.h.h.i.QueryTranslatorFactoryInitiator:47 - HHH000397: Using ASTQueryTranslatorFactory
2017-08-09 10:41:13.948 | INFO  | [main] o.h.Version:45 - HHH000412: Hibernate Core {5.2.10.Final}
2017-08-09 10:41:13.963 | INFO  | [main] o.h.c.Environment:213 - HHH000206: hibernate.properties not found
2017-08-09 10:41:14.791 | INFO  | [main] o.h.a.c.Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2017-08-09 10:41:15.401 | WARN  | [main] o.h.o.c.pooling:70 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2017-08-09 10:41:15.416 | INFO  | [main] o.h.o.c.pooling:126 - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/dev?useSSL=true&serverTimezone=UTC]
2017-08-09 10:41:15.416 | INFO  | [main] o.h.o.c.pooling:135 - HHH10001001: Connection properties: {user=root, password=****}
2017-08-09 10:41:15.416 | INFO  | [main] o.h.o.c.pooling:140 - HHH10001003: Autocommit mode: false
2017-08-09 10:41:15.432 | INFO  | [main] o.h.e.j.c.i.DriverManagerConnectionProviderImpl:41 - HHH000115: Hibernate connection pool size: 20 (min=1)
2017-08-09 10:41:16.245 | INFO  | [main] o.h.d.Dialect:157 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2017-08-09 10:41:17.807 | INFO  | [main] o.h.o.c.access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@32cb636e] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2017-08-09 10:41:18.057 | INFO  | [main] o.h.h.i.QueryTranslatorFactoryInitiator:47 - HHH000397: Using ASTQueryTranslatorFactory
2017-08-09 10:41:50.095 | INFO  | [main] o.h.Version:45 - HHH000412: Hibernate Core {5.2.10.Final}
2017-08-09 10:41:50.111 | INFO  | [main] o.h.c.Environment:213 - HHH000206: hibernate.properties not found
2017-08-09 10:41:51.470 | INFO  | [main] o.h.a.c.Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2017-08-09 10:41:51.814 | WARN  | [main] o.h.o.c.pooling:70 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2017-08-09 10:41:51.830 | INFO  | [main] o.h.o.c.pooling:126 - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/dev?useSSL=true&serverTimezone=UTC]
2017-08-09 10:41:51.830 | INFO  | [main] o.h.o.c.pooling:135 - HHH10001001: Connection properties: {user=root, password=****}
2017-08-09 10:41:51.830 | INFO  | [main] o.h.o.c.pooling:140 - HHH10001003: Autocommit mode: false
2017-08-09 10:41:51.830 | INFO  | [main] o.h.e.j.c.i.DriverManagerConnectionProviderImpl:41 - HHH000115: Hibernate connection pool size: 20 (min=1)
2017-08-09 10:41:52.549 | INFO  | [main] o.h.d.Dialect:157 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2017-08-09 10:41:54.580 | INFO  | [main] o.h.o.c.access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@17f2dd85] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2017-08-09 10:41:54.892 | INFO  | [main] o.h.h.i.QueryTranslatorFactoryInitiator:47 - HHH000397: Using ASTQueryTranslatorFactory
2017-08-09 10:48:25.708 | INFO  | [main] o.h.Version:45 - HHH000412: Hibernate Core {5.2.10.Final}
2017-08-09 10:48:25.739 | INFO  | [main] o.h.c.Environment:213 - HHH000206: hibernate.properties not found
2017-08-09 10:48:26.818 | INFO  | [main] o.h.a.c.Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2017-08-09 10:48:27.349 | WARN  | [main] o.h.o.c.pooling:70 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2017-08-09 10:48:27.365 | INFO  | [main] o.h.o.c.pooling:126 - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/dev?useSSL=true&serverTimezone=UTC]
2017-08-09 10:48:27.365 | INFO  | [main] o.h.o.c.pooling:135 - HHH10001001: Connection properties: {user=root, password=****}
2017-08-09 10:48:27.365 | INFO  | [main] o.h.o.c.pooling:140 - HHH10001003: Autocommit mode: false
2017-08-09 10:48:27.380 | INFO  | [main] o.h.e.j.c.i.DriverManagerConnectionProviderImpl:41 - HHH000115: Hibernate connection pool size: 20 (min=1)
2017-08-09 10:48:28.224 | INFO  | [main] o.h.d.Dialect:157 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2017-08-09 10:48:30.505 | INFO  | [main] o.h.o.c.access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@1a865273] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2017-08-09 10:48:30.833 | INFO  | [main] o.h.h.i.QueryTranslatorFactoryInitiator:47 - HHH000397: Using ASTQueryTranslatorFactory
2017-08-09 10:51:45.394 | INFO  | [main] o.h.Version:45 - HHH000412: Hibernate Core {5.2.10.Final}
2017-08-09 10:51:45.441 | INFO  | [main] o.h.c.Environment:213 - HHH000206: hibernate.properties not found
2017-08-09 10:51:46.254 | INFO  | [main] o.h.a.c.Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2017-08-09 10:51:46.879 | WARN  | [main] o.h.o.c.pooling:70 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
